X1_cat;X2_cat;X3_cat;X4_cat;X6_cat;X5;X7;Y
bin_0;bin_1;bin_0;bin_4;bin_5;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_1;bin_4;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_9;bin_9;bin_5;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_10;bin_2;bin_1;CASINO;No_Feat;No_Displ
bin_0;bin_1;bin_16;bin_1;bin_1;CORA;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_14;bin_5;CASINO;No_Feat;No_Displ
bin_0;bin_1;bin_11;bin_9;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_15;bin_9;bin_5;CASINO;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_1;bin_1;LECLERC;No_Feat;No_Displ
bin_2;bin_2;bin_16;bin_1;bin_6;AUCHAN;No_Feat;No_Displ
bin_1;bin_2;bin_15;bin_2;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_7;bin_1;LECLERC;No_Feat;No_Displ
bin_1;bin_2;bin_0;bin_1;bin_5;SIMPLY MARKET;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_4;bin_5;CARREFOUR MARKET;No_Feat;No_Displ
bin_1;bin_2;bin_5;bin_6;bin_6;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_10;bin_1;INTERMARCHE;No_Feat;No_Displ
